blurb,category,country,created_at,currency,deadline,fx_rate,goal,launched_at,name,staff_pick,location,funded,subcategory,project_url,reward_url,dbl,dbd
dfa class join saturday july afternoon artistry visual art dance theater,art,US,1327925706,USD,1333893468,1.0,500.0,1328713068,DFA Class of 2002; FACES OF ARTISTRY,False,"Augusta, GA",True,art,https://www.kickstarter.com/projects/191150262/dfa-class-of-2002-faces-of-artistry,https://www.kickstarter.com/projects/191150262/dfa-class-of-2002-faces-of-artistry/rewards,9,59
investigation element mortality drive rich imagery live music,art,US,1326399196,USD,1331313820,1.0,4000.0,1328721820,here there nowhere,False,"Brooklyn, NY",True,performance art,https://www.kickstarter.com/projects/1394046920/here-there-nowhere,https://www.kickstarter.com/projects/1394046920/here-there-nowhere/rewards,26,30
solo exhibition portraiture series seek define emotion purpose inspire individual urban hip hop culture,art,US,1328025693,USD,1330750740,1.0,2000.0,1328724970,A Low End Theory | The Art of Seeing Sounds,False,"Washington, DC",True,art,https://www.kickstarter.com/projects/psimdope/the-low-end-theory-the-art-of-seeing-sounds,https://www.kickstarter.com/projects/psimdope/the-low-end-theory-the-art-of-seeing-sounds/rewards,8,23
tote bag purse repurpose vintage glitter album cover art,art,US,1328567867,USD,1331359973,1.0,1500.0,1328767973,Reviving the lost art of Record Album art,False,"Chicago, IL",True,mixed media,https://www.kickstarter.com/projects/mmmdesign/reviving-the-lost-art-of-record-album-art,https://www.kickstarter.com/projects/mmmdesign/reviving-the-lost-art-of-record-album-art/rewards,2,30
dungeon dragon artwork create time tsr destroy let bring,art,US,1328680132,USD,1331445540,1.0,2750.0,1328823387,Re-Creating my Art from S3: Expedition to the Barrier Peaks,False,"Austin, TX",True,illustration,https://www.kickstarter.com/projects/jeffdee/re-creating-my-art-from-s3-expedition-to-the-barri,https://www.kickstarter.com/projects/jeffdee/re-creating-my-art-from-s3-expedition-to-the-barri/rewards,1,30
entire year paint new image fatherhood day depict present father interact kid,art,US,1328115498,USD,1333249200,1.0,8000.0,1328841730,365 DAYS WITH DAD,False,"St. Louis, MO",True,painting,https://www.kickstarter.com/projects/1047298083/365-days-with-dad,https://www.kickstarter.com/projects/1047298083/365-days-with-dad/rewards,8,51
deck illustrate symbolic card inspiration advice reflection,art,US,1325689792,USD,1331434157,1.0,4000.0,1328842157,The Golden Moth Illumination Deck,True,"Richmond, VA",True,illustration,https://www.kickstarter.com/projects/51647073/the-golden-moth-illumination-deck,https://www.kickstarter.com/projects/51647073/the-golden-moth-illumination-deck/rewards,36,30
nonsense dance work hard passion love dance create help reach goal,art,US,1328773740,USD,1331269140,1.0,2000.0,1328850531,"""DRAMATIC"" a full length dance showing presented by Nonsense",False,"Portland, OR",True,performance art,https://www.kickstarter.com/projects/nonsensedance/dramatic-a-full-length-dance-showing-presented-by,https://www.kickstarter.com/projects/nonsensedance/dramatic-a-full-length-dance-showing-presented-by/rewards,0,27
help leslie phillip art tour de wisconsin want artwork road life short seize,art,US,1328213519,USD,1330916400,1.0,2250.0,1328319342,"""Art Tour De Wisconsin""",False,"Madison, WI",True,mixed media,https://www.kickstarter.com/projects/orangepops/art-tour-de-wisconsin,https://www.kickstarter.com/projects/orangepops/art-tour-de-wisconsin/rewards,1,30
northern spark free dusk dawn art festival explore constellation urban art discover city new light,art,US,1328144978,USD,1333256340,1.0,10000.0,1328498092,Northern Spark Twin Cities nuit blanche June 9-10,True,"Minneapolis, MN",True,public art,https://www.kickstarter.com/projects/northernlightsmn/northern-spark-twin-cities-nuit-blanche-june-9-10,https://www.kickstarter.com/projects/northernlightsmn/northern-spark-twin-cities-nuit-blanche-june-9-10/rewards,4,55
